Terms,Freq,Posting,Compress Posting,Gamma Code
abaixo,38,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 40, 41, 48, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 101]","[0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 7, 34, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101000, 0, 11011, 11111000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100]"
abordagem,3,"[7, 64, 74]","[7, 57, 10]","[11011, 11111011001, 1110010]"
abrir,20,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
abuso,8,"[0, 1, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 100, 0, 0, 0, 0, 0]"
acabam,6,"[6, 49, 52, 55, 56, 57]","[6, 43, 3, 3, 1, 1]","[11010, 11111001011, 101, 101, 0, 0]"
acabamento,19,"[5, 9, 10, 11, 12, 13, 14, 15, 16, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]","[5, 4, 1, 1, 1, 1, 1, 1, 1, 33, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11001, 11000, 0, 0, 0, 0, 0, 0, 0, 11111000001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acabou,8,"[89, 92, 95, 96, 98, 99, 100, 101]","[89, 3, 3, 1, 2, 1, 1, 1]","[1111110011001, 101, 101, 0, 100, 0, 0, 0]"
acaso,13,"[1, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 86]","[1, 12, 14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 50]","[0, 1110100, 1110110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111010010]"
aceita,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 84]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 76]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1111110001100]"
aceitamos,10,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[27, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111101011, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acer,20,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acervo,19,"[3, 9, 10, 11, 12, 13, 14, 15, 16, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[3, 6, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 11010, 0, 0, 0, 0, 0, 0, 0, 1110011, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acessar,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 101]"
