Título,Autor,Nº Páginas,Editora,Idioma,Acabamento,ISBN,Documento
1808: Como uma rainha,Laurentino Gomes,384,Globo Livros,(Português),Capa Comum, 978-8525057518,search/pages/Amazon/Positivas/1808.html
Box - As Melhores Aventuras Do Sítio Do Picapau Amarelo,Monteiro Lobato,640,Nova Fronteira,(Português),Capa dura, 978-8520943519,search/pages/Amazon/Positivas/Box - As Melhores Aventuras Do Sítio Do Picapau Amarelo Monteiro Lobato Amazon.com.br.html
Cotoco. O Diário De Um Garoto De 13 Anos,John Van de Ruit,390,Intrínseca,(Português),Capa Comum, 978-8598078854,search/pages/Amazon/Positivas/Cotoco. O Diário De Um Garoto De 13 Anos - Livros na Amazon Brasil- 9788598078854.html
"Doctor Who: 12 Doutores, 12 histórias",Alex Scarrow,480,Fantástica Rocco,(Português),Capa Comum, 978-8568263044,"search/pages/Amazon/Positivas/Doctor Who, Neil Gaiman e vários - Livros na Amazon.com.br.html"
Freud (1900) A interpretação dos sonhos: Obras completas volume 4,Sigmund Freud,736,Companhia das Letras,(Português),Capa dura, 978-8535932218,search/pages/Amazon/Positivas/Freud (1900) A interpretação dos sonhos Obras completas volume 4 - 9788535932218 - Livros na Amazon Brasil.html
Good Omens: Belas Maldições,Neil Gaiman,364,Bertrand Brasil,(Português),Capa Comum, 978-8528624021,search/pages/Amazon/Positivas/Good Omens Belas Maldições - Livros na Amazon Brasil- 9788528624021.html
Os Mitos de Cthulhu - Volume Único (Exclusivo Amazon),Esteban Maroto,92,Pipoca e Nanquim (7 de junho de 2019),(Português),Capa dura, 978-8593695261,search/pages/Amazon/Positivas/Os Mitos de Cthulhu - Volume Único (Exclusivo Amazon) Livros.html
Redes de Computadores e a Internet: Uma Abordagem Top-Down,Jim Kurose,656,Pearson Universidades,(Português),Capa Comum, 978-8581436777,search/pages/Amazon/Positivas/Redes de Computadores e a Internet Uma Abordagem Top-Down - 9788581436777 - Livros na Amazon Brasil.html
Sobotta - Atlas de Anatomia Humana - 3 Volumes,Friedrich Paulsen,1168,Guanabara Koogan,(Português),Capa dura, 978-8527732376,search/pages/Amazon/Positivas/Sobotta - Atlas de Anatomia Humana - 3 Volumes - 9788527732376 - Livros na Amazon Brasil.html
Alice No País Das Maravilhas (Classic Edition),"Carroll,Lewis",208,,Português,Capa dura,9788594541758,search/pages/Saraiva/Positivas/Alice No País Das Maravilhas (Classic Edition) - Saraiva.html
Steve Jobs - A Biografia,"Isaacson,Walter, Isaacson,Walter",624,,Português,Brochura,9788535919714,search/pages/Saraiva/Positivas/Steve Jobs - A Biografia - Saraiva.html
Vade Mecum Compacto   - Brochura  - 21ª Ed. 2019,Editora Saraiva,2127,,Português,Brochura,9788553603244,search/pages/Saraiva/Positivas/Vade Mecum Compacto - Brochura - 21a Ed. 2019 - Saraiva.html
It - A Coisa,"King,Stephen",1104,,Português,Brochura,9788560280940,search/pages/Saraiva/Positivas/It - A Coisa - Saraiva.html
Como Fazer Amigos e Influenciar Pessoas,,264,,Português,Brochura,9788504018028,search/pages/Saraiva/Positivas/Como Fazer Amigos e Influenciar Pessoas - Saraiva.html
