word,Field Text,Freq,Posting,Compress Posting
0,1808.title,1,[0],[0]
1,1900.title,1,[4],[4]
0,1967.publishing,1,[29],[29]
1,1984.publishing,1,[32],[32]
2,1987.publishing,1,[34],[34]
3,1991.publishing,1,[33],[33]
4,2006.publishing,1,[35],[35]
5,2019.publishing,1,[6],[6]
2,2019.title,2,"[11, 26]","[11, 15]"
0,8516079732.isbn,1,[51],[51]
1,8520943519.isbn,1,[1],[1]
2,8521614780.isbn,1,[65],[65]
3,8525057518.isbn,1,[0],[0]
4,8527732376.isbn,1,[8],[8]
5,8528624021.isbn,1,[5],[5]
6,8531500710.isbn,1,[60],[60]
7,8532309089.isbn,1,[64],[64]
8,8532606261.isbn,1,[57],[57]
9,8532649963.isbn,1,[63],[63]
10,8535932218.isbn,1,[4],[4]
11,8535932550.isbn,1,[69],[69]
12,8539004119.isbn,1,[61],[61]
13,8539602776.isbn,1,[52],[52]
14,8555462096.isbn,1,[67],[67]
15,8563178393.isbn,1,[56],[56]
16,8568014003.isbn,1,[59],[59]
17,8568263044.isbn,1,[3],[3]
18,8576766302.isbn,2,"[62, 70]","[62, 8]"
19,8580573297.isbn,1,[55],[55]
20,8581436777.isbn,1,[7],[7]
21,8589987337.isbn,1,[68],[68]
22,8593695261.isbn,1,[6],[6]
23,8594318286.isbn,1,[66],[66]
24,8598078854.isbn,1,[2],[2]
25,9786580309351.isbn,1,[90],[90]
26,9786580309375.isbn,1,[24],[24]
27,9786580435173.isbn,1,[101],[101]
28,9788501112330.isbn,1,[72],[72]
29,9788501114785.isbn,1,[26],[26]
30,9788501117359.isbn,1,[85],[85]
31,9788501117656.isbn,1,[83],[83]
32,9788502132481.isbn,1,[47],[47]
33,9788504018028.isbn,1,[13],[13]
34,9788506078532.isbn,1,[80],[80]
35,9788506078549.isbn,1,[81],[81]
36,9788506078563.isbn,1,[79],[79]
37,9788516117979.isbn,1,[22],[22]
38,9788521201687.isbn,1,[78],[78]
39,9788521214038.isbn,1,[40],[40]
40,9788525067425.isbn,1,[82],[82]
41,9788525068125.isbn,1,[21],[21]
42,9788527726634.isbn,1,[74],[74]
43,9788527733298.isbn,1,[76],[76]
44,9788528608519.isbn,1,[49],[49]
45,9788528616668.isbn,1,[84],[84]
46,9788528622973.isbn,1,[16],[16]
47,9788530600211.isbn,1,[93],[93]
48,9788532602084.isbn,1,[41],[41]
49,9788532607379.isbn,1,[88],[88]
50,9788532638861.isbn,1,[36],[36]
51,9788532660480.isbn,1,[37],[37]
52,9788535919714.isbn,1,[10],[10]
53,9788539109456.isbn,1,[46],[46]
54,9788539629510.isbn,1,[25],[25]
55,9788542203080.isbn,1,[50],[50]
56,9788542217209.isbn,1,[86],[86]
57,9788543108377.isbn,1,[100],[100]
58,9788545202219.isbn,1,[23],[23]
59,9788550802336.isbn,1,[20],[20]
60,9788550803395.isbn,1,[77],[77]
61,9788551005194.isbn,1,[94],[94]
62,9788551005224.isbn,1,[89],[89]
63,9788553603244.isbn,1,[11],[11]
64,9788555461002.isbn,1,[73],[73]
65,9788555461927.isbn,1,[92],[92]
66,9788556520876.isbn,1,[38],[38]
67,9788560280940.isbn,1,[12],[12]
68,9788565358668.isbn,1,[45],[45]
69,9788565432436.isbn,1,[44],[44]
70,9788565765015.isbn,1,[54],[54]
71,9788568674055.isbn,1,[87],[87]
72,9788573022391.isbn,1,[27],[27]
73,9788573074567.isbn,1,[71],[71]
74,9788573516531.isbn,1,[95],[95]
75,9788574164632.isbn,1,[30],[30]
76,9788575963050.isbn,1,[58],[58]
77,9788577061273.isbn,1,[39],[39]
78,9788577346776.isbn,1,[19],[19]
79,9788578683788.isbn,1,[48],[48]
80,9788579804557.isbn,1,[98],[98]
81,9788580415421.isbn,1,[91],[91]
82,9788580553918.isbn,1,[75],[75]
83,9788580632156.isbn,1,[53],[53]
84,9788581744988.isbn,1,[18],[18]
85,9788581863009.isbn,1,[43],[43]
86,9788582715550.isbn,1,[42],[42]
87,9788587193391.isbn,1,[17],[17]
88,9788594541758.isbn,1,[9],[9]
89,9788595810846.isbn,1,[99],[99]
90,9788599296578.isbn,1,[14],[14]
91,9789463041706.isbn,1,[15],[15]
92,9798574196205.isbn,1,[35],[35]
3,abordagem.title,1,[7],[7]
4,abrigo.title,1,[22],[22]
5,absolute.title,1,[95],[95]
0,adams.author,1,[14],[14]
6,administracao.title,1,[76],[76]
1,adrian.author,1,[83],[83]
7,afirmar.title,1,[37],[37]
8,alemao.title,1,[79],[79]
0,alemão.language,1,[79],[79]
2,alex.author,1,[3],[3]
6,alfaguara.publishing,1,[38],[38]
9,algebra.title,1,[65],[65]
10,alice.title,1,[9],[9]
11,alimentaçao.title,1,[25],[25]
3,aline.author,1,[18],[18]
7,alta.publishing,2,"[20, 77]","[20, 57]"
12,alta.title,1,[23],[23]
13,amarelo.title,1,[1],[1]
14,amazon.title,1,[6],[6]
15,amazônia.title,1,[35],[35]
16,ambiente.title,1,[71],[71]
17,americano.title,1,[40],[40]
18,amigos.title,1,[13],[13]
19,analise.title,1,[78],[78]
20,anatomia.title,1,[8],[8]
4,andrade.author,1,[72],[72]
21,animais.title,1,[15],[15]
8,annablume.publishing,1,[46],[46]
5,anne.author,1,[66],[66]
22,anne.title,1,[66],[66]
23,anos.title,2,"[2, 29]","[2, 27]"
24,antes.title,1,[55],[55]
6,antje.author,1,[40],[40]
